WHITE: 63 {(Name: LegalMoves, Weight: 0.12519966125058377), (Name: Stone Count, Weight: 0.0910005304850147), (Name: SidePieces, Weight: 0.31208602257498735), (Name: CornerPieces, Weight: 0.24936785996674576), (Name: BlockedAdjacent, Weight: 0.22234592572266848), }
WHITE: 64 {(Name: LegalMoves, Weight: 0.1296876096555063), (Name: Stone Count, Weight: 0.05881116111450065), (Name: SidePieces, Weight: 0.31743238339541896), (Name: CornerPieces, Weight: 0.271184040171312), (Name: BlockedAdjacent, Weight: 0.22288480566326216), }
WHITE: 65 {(Name: LegalMoves, Weight: 0.11457681410609023), (Name: Stone Count, Weight: 0.09254049110728665), (Name: SidePieces, Weight: 0.313692071841545), (Name: CornerPieces, Weight: 0.25752191718803813), (Name: BlockedAdjacent, Weight: 0.22166870575703992), }
WHITE: 66 {(Name: LegalMoves, Weight: 0.11772617150515036), (Name: Stone Count, Weight: 0.06368607855866618), (Name: SidePieces, Weight: 0.3287917036509645), (Name: CornerPieces, Weight: 0.25429374218664313), (Name: BlockedAdjacent, Weight: 0.23550230409857592), }
WHITE: 67 {(Name: LegalMoves, Weight: 0.10472133443933426), (Name: Stone Count, Weight: 0.09519694581184317), (Name: SidePieces, Weight: 0.31392063020075045), (Name: CornerPieces, Weight: 0.26556627578239805), (Name: BlockedAdjacent, Weight: 0.2205948137656741), }
WHITE: 68 {(Name: LegalMoves, Weight: 0.10940675085045345), (Name: Stone Count, Weight: 0.06731617908811424), (Name: SidePieces, Weight: 0.318407106212568), (Name: CornerPieces, Weight: 0.27687452817605857), (Name: BlockedAdjacent, Weight: 0.22799543567280572), }
WHITE: 69 {(Name: LegalMoves, Weight: 0.09717430017019363), (Name: Stone Count, Weight: 0.10377644981950336), (Name: SidePieces, Weight: 0.31041464857558104), (Name: CornerPieces, Weight: 0.26849625864400894), (Name: BlockedAdjacent, Weight: 0.220138342790713), }
WHITE: 70 {(Name: LegalMoves, Weight: 0.09966107409038001), (Name: Stone Count, Weight: 0.07296861915252784), (Name: SidePieces, Weight: 0.3210089834654032), (Name: CornerPieces, Weight: 0.28029062881683303), (Name: BlockedAdjacent, Weight: 0.22607069447485595), }
WHITE: 71 {(Name: LegalMoves, Weight: 0.08956769940254779), (Name: Stone Count, Weight: 0.11342644119809626), (Name: SidePieces, Weight: 0.30876897777370876), (Name: CornerPieces, Weight: 0.2686936371755633), (Name: BlockedAdjacent, Weight: 0.2195432444500839), }
WHITE: 72 {(Name: LegalMoves, Weight: 0.0853426479771724), (Name: Stone Count, Weight: 0.08818814000228345), (Name: SidePieces, Weight: 0.3261889596349402), (Name: CornerPieces, Weight: 0.2696242381004316), (Name: BlockedAdjacent, Weight: 0.2306560142851722), }
WHITE: 73 {(Name: LegalMoves, Weight: 0.0822128594173975), (Name: Stone Count, Weight: 0.11409118630227408), (Name: SidePieces, Weight: 0.3116985782159584), (Name: CornerPieces, Weight: 0.2705714653826788), (Name: BlockedAdjacent, Weight: 0.22142591068169126), }
WHITE: 74 {(Name: LegalMoves, Weight: 0.0780150502883767), (Name: Stone Count, Weight: 0.090550977883118), (Name: SidePieces, Weight: 0.32325539452737734), (Name: CornerPieces, Weight: 0.27594600319389584), (Name: BlockedAdjacent, Weight: 0.23223257410723216), }
WHITE: 75 {(Name: LegalMoves, Weight: 0.07119403146067038), (Name: Stone Count, Weight: 0.12707225843848863), (Name: SidePieces, Weight: 0.30757968724984447), (Name: CornerPieces, Weight: 0.27621484488473347), (Name: BlockedAdjacent, Weight: 0.21793917796626303), }
