||| WHITE | 20000 ||
WHITE: 64 {(Name: LegalMoves, Weight: 0.1362985652014185), (Name: Stone Count, Weight: 0.039975502093619844), (Name: SidePieces, Weight: 0.318048564147075), (Name: CornerPieces, Weight: 0.2799332995526088), (Name: BlockedAdjacent, Weight: 0.22574406900527796), }
WHITE: 65 {(Name: LegalMoves, Weight: 0.12261414813276317), (Name: Stone Count, Weight: 0.07202670281093675), (Name: SidePieces, Weight: 0.3081522476733619), (Name: CornerPieces, Weight: 0.2808596296168984), (Name: BlockedAdjacent, Weight: 0.21634727176603966), }
WHITE: 66 {(Name: LegalMoves, Weight: 0.1287562267947387), (Name: Stone Count, Weight: 0.04991844942617159), (Name: SidePieces, Weight: 0.3139030983962055), (Name: CornerPieces, Weight: 0.28568191893541), (Name: BlockedAdjacent, Weight: 0.22174030644747425), }
WHITE: 67 {(Name: LegalMoves, Weight: 0.11150870571473141), (Name: Stone Count, Weight: 0.07271785175933212), (Name: SidePieces, Weight: 0.31495883342051423), (Name: CornerPieces, Weight: 0.28158881017100007), (Name: BlockedAdjacent, Weight: 0.2192257989344222), }
WHITE: 68 {(Name: LegalMoves, Weight: 0.11209922809920747), (Name: Stone Count, Weight: 0.04384143478905535), (Name: SidePieces, Weight: 0.32127960282141227), (Name: CornerPieces, Weight: 0.29041705206146556), (Name: BlockedAdjacent, Weight: 0.23236268222885942), }
WHITE: 69 {(Name: LegalMoves, Weight: 0.10373867241509445), (Name: Stone Count, Weight: 0.07625810152460363), (Name: SidePieces, Weight: 0.31541630943922894), (Name: CornerPieces, Weight: 0.2833063258062255), (Name: BlockedAdjacent, Weight: 0.22128059081484755), }
WHITE: 70 {(Name: LegalMoves, Weight: 0.11457449224089904), (Name: Stone Count, Weight: 0.05036526010070497), (Name: SidePieces, Weight: 0.32517525202925607), (Name: CornerPieces, Weight: 0.2753224584929887), (Name: BlockedAdjacent, Weight: 0.23456253713615113), }
WHITE: 71 {(Name: LegalMoves, Weight: 0.08959501920611763), (Name: Stone Count, Weight: 0.08829719394816996), (Name: SidePieces, Weight: 0.3166833949322417), (Name: CornerPieces, Weight: 0.28512609367673913), (Name: BlockedAdjacent, Weight: 0.22029829823673147), }
WHITE: 72 {(Name: LegalMoves, Weight: 0.087659516693889), (Name: Stone Count, Weight: 0.06445407541906588), (Name: SidePieces, Weight: 0.3225430456479198), (Name: CornerPieces, Weight: 0.29872822859923726), (Name: BlockedAdjacent, Weight: 0.22661513363988822), }
WHITE: 73 {(Name: LegalMoves, Weight: 0.08174487812157784), (Name: Stone Count, Weight: 0.09066681217418904), (Name: SidePieces, Weight: 0.3244434695962565), (Name: CornerPieces, Weight: 0.2774383635876148), (Name: BlockedAdjacent, Weight: 0.2257064765203618), }
WHITE: 74 {(Name: LegalMoves, Weight: 0.0909205637461681), (Name: Stone Count, Weight: 0.06514336699061524), (Name: SidePieces, Weight: 0.34565493428864075), (Name: CornerPieces, Weight: 0.26223464049196354), (Name: BlockedAdjacent, Weight: 0.2360464944826122), }
WHITE: 75 {(Name: LegalMoves, Weight: 0.07478322617165636), (Name: Stone Count, Weight: 0.09314999027519874), (Name: SidePieces, Weight: 0.3231973726835862), (Name: CornerPieces, Weight: 0.2842413503326597), (Name: BlockedAdjacent, Weight: 0.22462806053689907), }
WHITE: 76 {(Name: LegalMoves, Weight: 0.07684462061340852), (Name: Stone Count, Weight: 0.05984655995654545), (Name: SidePieces, Weight: 0.33878052427374916), (Name: CornerPieces, Weight: 0.29306140007845016), (Name: BlockedAdjacent, Weight: 0.2314668950778469), }
WHITE: 77 {(Name: LegalMoves, Weight: 0.06378625805850455), (Name: Stone Count, Weight: 0.09506443449854286), (Name: SidePieces, Weight: 0.3173182644213544), (Name: CornerPieces, Weight: 0.30474573185566634), (Name: BlockedAdjacent, Weight: 0.21908531116593175), }
WHITE: 78 {(Name: LegalMoves, Weight: 0.06550198083732899), (Name: Stone Count, Weight: 0.07428571710264763), (Name: SidePieces, Weight: 0.3308714147968755), (Name: CornerPieces, Weight: 0.3030139233784646), (Name: BlockedAdjacent, Weight: 0.2263269638846832), }
WHITE: 79 {(Name: LegalMoves, Weight: 0.05388383856536274), (Name: Stone Count, Weight: 0.11943153045102217), (Name: SidePieces, Weight: 0.308733371728983), (Name: CornerPieces, Weight: 0.30382118040105616), (Name: BlockedAdjacent, Weight: 0.2141300788535759), }
WHITE: 80 {(Name: LegalMoves, Weight: 0.057908148212548735), (Name: Stone Count, Weight: 0.09360115616413107), (Name: SidePieces, Weight: 0.31575571568167343), (Name: CornerPieces, Weight: 0.30908448333193694), (Name: BlockedAdjacent, Weight: 0.22365049660970981), }
WHITE: 81 {(Name: LegalMoves, Weight: 0.04544729481285411), (Name: Stone Count, Weight: 0.13362951287111832), (Name: SidePieces, Weight: 0.30790396671126424), (Name: CornerPieces, Weight: 0.2997936082490007), (Name: BlockedAdjacent, Weight: 0.21322561735576245), }
WHITE: 82 {(Name: LegalMoves, Weight: 0.04220208323541935), (Name: Stone Count, Weight: 0.11315801604607773), (Name: SidePieces, Weight: 0.32340191721400013), (Name: CornerPieces, Weight: 0.2942629313934169), (Name: BlockedAdjacent, Weight: 0.22697505211108593), }
WHITE: 83 {(Name: LegalMoves, Weight: 0.03646183397432729), (Name: Stone Count, Weight: 0.1538203536121204), (Name: SidePieces, Weight: 0.29940883847385213), (Name: CornerPieces, Weight: 0.30237851879371397), (Name: BlockedAdjacent, Weight: 0.20793045514598624), }
WHITE: 84 {(Name: LegalMoves, Weight: 0.03923316700544944), (Name: Stone Count, Weight: 0.12442622051598975), (Name: SidePieces, Weight: 0.31949218936606877), (Name: CornerPieces, Weight: 0.29669158339874807), (Name: BlockedAdjacent, Weight: 0.2201568397137439), }
WHITE: 85 {(Name: LegalMoves, Weight: 0.029863588023561427), (Name: Stone Count, Weight: 0.17835952122443907), (Name: SidePieces, Weight: 0.296314836212679), (Name: CornerPieces, Weight: 0.29129334938809687), (Name: BlockedAdjacent, Weight: 0.20416870515122373), }
WHITE: 86 {(Name: LegalMoves, Weight: 0.028844321082963625), (Name: Stone Count, Weight: 0.14793450921904563), (Name: SidePieces, Weight: 0.3123942747148485), (Name: CornerPieces, Weight: 0.2942196789698663), (Name: BlockedAdjacent, Weight: 0.216607216013276), }
WHITE: 87 {(Name: LegalMoves, Weight: 0.022043537330312776), (Name: Stone Count, Weight: 0.2140831166284241), (Name: SidePieces, Weight: 0.2898457891872412), (Name: CornerPieces, Weight: 0.2748538406350635), (Name: BlockedAdjacent, Weight: 0.19917371621895832), }
WHITE: 88 {(Name: LegalMoves, Weight: 0.02241624474284515), (Name: Stone Count, Weight: 0.18822907996244823), (Name: SidePieces, Weight: 0.3030257988754324), (Name: CornerPieces, Weight: 0.27581689142209775), (Name: BlockedAdjacent, Weight: 0.21051198499717627), }
WHITE: 89 {(Name: LegalMoves, Weight: 0.031060544441958216), (Name: Stone Count, Weight: 0.24248145965699724), (Name: SidePieces, Weight: 0.2691164068906641), (Name: CornerPieces, Weight: 0.265957329980198), (Name: BlockedAdjacent, Weight: 0.19138425903018252), }
WHITE: 90 {(Name: LegalMoves, Weight: 0.020611288992379687), (Name: Stone Count, Weight: 0.2357682304433368), (Name: SidePieces, Weight: 0.2791896219817101), (Name: CornerPieces, Weight: 0.2612880817994343), (Name: BlockedAdjacent, Weight: 0.20314277678313908), }
WHITE: 91 {(Name: LegalMoves, Weight: 0.2), (Name: Stone Count, Weight: 0.2), (Name: SidePieces, Weight: 0.2), (Name: CornerPieces, Weight: 0.2), (Name: BlockedAdjacent, Weight: 0.2), }
||| BLACK | 20000 ||
BLACK: 0 {(Name: LegalMoves, Weight: 0.9409523844267716), (Name: Stone Count, Weight: 0.0014670024559114688), (Name: SidePieces, Weight: 6.776003504472629E-4), (Name: CornerPieces, Weight: 6.776003504472629E-4), (Name: BlockedAdjacent, Weight: 0.05622541241642226), }
BLACK: 1 {(Name: LegalMoves, Weight: 0.9442295390196709), (Name: Stone Count, Weight: 0.0050926591157227285), (Name: SidePieces, Weight: 0.0050926591157227285), (Name: CornerPieces, Weight: 0.0050926591157227285), (Name: BlockedAdjacent, Weight: 0.040492483633160846), }
BLACK: 2 {(Name: LegalMoves, Weight: 0.9222491657488329), (Name: Stone Count, Weight: 0.022833315941637424), (Name: SidePieces, Weight: 1.2260377347655502E-5), (Name: CornerPieces, Weight: 1.2260377347655502E-5), (Name: BlockedAdjacent, Weight: 0.0548929975548344), }
BLACK: 3 {(Name: LegalMoves, Weight: 0.6982468521399502), (Name: Stone Count, Weight: 0.23177412423227398), (Name: SidePieces, Weight: 3.2251238003611727E-4), (Name: CornerPieces, Weight: 3.2251238003611727E-4), (Name: BlockedAdjacent, Weight: 0.06933399886770368), }
BLACK: 4 {(Name: LegalMoves, Weight: 0.8466219804932134), (Name: Stone Count, Weight: 0.10251940949190567), (Name: SidePieces, Weight: 8.712326086341779E-6), (Name: CornerPieces, Weight: 8.712326086341779E-6), (Name: BlockedAdjacent, Weight: 0.05084118536270817), }
BLACK: 5 {(Name: LegalMoves, Weight: 0.6777677216030651), (Name: Stone Count, Weight: 0.22688308399955984), (Name: SidePieces, Weight: 1.7620053668800274E-6), (Name: CornerPieces, Weight: 1.7620053668800274E-6), (Name: BlockedAdjacent, Weight: 0.09534567038664146), }
BLACK: 6 {(Name: LegalMoves, Weight: 0.7974348604099695), (Name: Stone Count, Weight: 0.11698802256450144), (Name: SidePieces, Weight: 3.2926524793542062E-6), (Name: CornerPieces, Weight: 3.2926524793542062E-6), (Name: BlockedAdjacent, Weight: 0.08557053172057033), }
BLACK: 7 {(Name: LegalMoves, Weight: 0.6090000535825578), (Name: Stone Count, Weight: 0.30684106673787676), (Name: SidePieces, Weight: 6.412624435387074E-7), (Name: CornerPieces, Weight: 3.5338581974371105E-6), (Name: BlockedAdjacent, Weight: 0.0841547045589244), }
BLACK: 8 {(Name: LegalMoves, Weight: 0.7771348746145024), (Name: Stone Count, Weight: 0.13203434508707704), (Name: SidePieces, Weight: 3.4439575418477495E-5), (Name: CornerPieces, Weight: 7.50043419219058E-5), (Name: BlockedAdjacent, Weight: 0.09072133638108017), }
